# Simbatch result for 92.out
task1	0.000000	0.000000	772.000000	772.000000
task2	272.000000	772.000000	2491.000000	1719.000000
task3	560.000000	772.000000	2569.000000	1797.000000
task4	865.000000	2569.000000	3654.000000	1085.000000
task5	1165.000000	3654.000000	4661.000000	1007.000000
task6	1493.000000	4661.000000	5561.000000	900.000000
task7	1836.000000	5561.000000	6796.000000	1235.000000
task8	2120.000000	5561.000000	6547.000000	986.000000
task9	2420.000000	6796.000000	8059.000000	1263.000000
task10	2718.000000	8059.000000	9363.000000	1304.000000
task11	3003.000000	9363.000000	10339.000000	976.000000
task12	3294.000000	10339.000000	11741.000000	1402.000000
task13	3608.000000	10339.000000	11256.000000	917.000000
task14	3899.000000	10339.000000	11326.000000	987.000000
task15	4206.000000	11256.000000	12999.000000	1743.000000
task16	4490.000000	12999.000000	14196.000000	1197.000000
task17	4781.000000	14196.000000	15958.000000	1762.000000
task18	5115.000000	15958.000000	16779.000000	821.000000
task19	5416.000000	15958.000000	17657.000000	1699.000000
task20	5691.000000	17657.000000	19376.000000	1719.000000
task21	6013.000000	19376.000000	20074.000000	698.000000
task22	6341.000000	20074.000000	21476.000000	1402.000000
task23	6649.000000	21476.000000	22513.000000	1037.000000
task24	6962.000000	21476.000000	22680.000000	1204.000000
task25	7248.000000	22680.000000	24292.000000	1612.000000
task26	7570.000000	24292.000000	25097.000000	805.000000
task27	7854.000000	24292.000000	25244.000000	952.000000
task28	8193.000000	25097.000000	26333.000000	1236.000000
task29	8491.000000	26333.000000	27419.000000	1086.000000
task30	8750.000000	27419.000000	28885.000000	1466.000000
task31	9058.000000	28885.000000	29886.000000	1001.000000
task32	9388.000000	29886.000000	30730.000000	844.000000
task33	9714.000000	30730.000000	32031.000000	1301.000000
task34	9994.000000	30730.000000	31899.000000	1169.000000
task35	10284.000000	32031.000000	33226.000000	1195.000000
task36	10581.000000	32031.000000	33272.000000	1241.000000
task37	10865.000000	33272.000000	34814.000000	1542.000000
task38	11134.000000	34814.000000	35636.000000	822.000000
task39	11422.000000	34814.000000	35775.000000	961.000000
task40	11712.000000	34814.000000	35775.000000	961.000000
task41	11999.000000	35775.000000	36379.000000	604.000000
task42	12298.000000	35775.000000	36433.000000	658.000000
task43	12597.000000	35775.000000	36623.000000	848.000000
task44	12920.000000	36623.000000	37555.000000	932.000000
task45	13256.000000	37555.000000	38322.000000	767.000000
task46	13567.000000	37555.000000	39253.000000	1698.000000
task47	13848.000000	38322.000000	39207.000000	885.000000
task48	14150.000000	39253.000000	40953.000000	1700.000000
task49	14464.000000	40953.000000	42303.000000	1350.000000
task50	14767.000000	42303.000000	44076.000000	1773.000000
task51	15072.000000	42303.000000	43894.000000	1591.000000
task52	15406.000000	43894.000000	45123.000000	1229.000000
task53	15735.000000	44076.000000	45728.000000	1652.000000
task54	16057.000000	45728.000000	47340.000000	1612.000000
task55	16351.000000	45728.000000	47284.000000	1556.000000
task56	16654.000000	47284.000000	48234.000000	950.000000
task57	16945.000000	48234.000000	48950.000000	716.000000
task58	17215.000000	48234.000000	49287.000000	1053.000000
task59	17512.000000	48950.000000	49868.000000	918.000000
task60	17839.000000	49868.000000	51040.000000	1172.000000
task61	18131.000000	51040.000000	52287.000000	1247.000000
task62	18449.000000	52287.000000	52946.000000	659.000000
task63	18720.000000	52287.000000	54044.000000	1757.000000
task64	19005.000000	52946.000000	54491.000000	1545.000000
task65	19320.000000	54491.000000	55364.000000	873.000000
task66	19624.000000	55364.000000	57052.000000	1688.000000
task67	19900.000000	57052.000000	58711.000000	1659.000000
task68	20232.000000	58711.000000	60053.000000	1342.000000
task69	20535.000000	60053.000000	61446.000000	1393.000000
task70	20823.000000	60053.000000	60825.000000	772.000000
task71	21131.000000	61446.000000	62354.000000	908.000000
task72	21417.000000	62354.000000	63328.000000	974.000000
task73	21724.000000	62354.000000	63708.000000	1354.000000
task74	22017.000000	63708.000000	64445.000000	737.000000
task75	22296.000000	64445.000000	65078.000000	633.000000
task76	22622.000000	65078.000000	66270.000000	1192.000000
task77	22924.000000	65078.000000	65922.000000	844.000000
task78	23217.000000	65922.000000	66785.000000	863.000000
task79	23532.000000	65922.000000	67712.000000	1790.000000
task80	23829.000000	67712.000000	68713.000000	1001.000000
task81	24143.000000	68713.000000	69581.000000	868.000000
task82	24433.000000	68713.000000	70440.000000	1727.000000
task83	24725.000000	70440.000000	71184.000000	744.000000
task84	25041.000000	71184.000000	72070.000000	886.000000
task85	25332.000000	71184.000000	72821.000000	1637.000000
task86	25652.000000	72821.000000	73890.000000	1069.000000
task87	26007.000000	73890.000000	75029.000000	1139.000000
task88	26289.000000	75029.000000	76197.000000	1168.000000
task89	26614.000000	76197.000000	77251.000000	1054.000000
task90	26919.000000	77251.000000	78263.000000	1012.000000
task91	27225.000000	78263.000000	79907.000000	1644.000000
task92	27523.000000	78263.000000	79442.000000	1179.000000
task93	27798.000000	79442.000000	80405.000000	963.000000
task94	28097.000000	80405.000000	81410.000000	1005.000000
task95	28387.000000	81410.000000	82659.000000	1249.000000
task96	28711.000000	82659.000000	84443.000000	1784.000000
task97	29011.000000	84443.000000	85906.000000	1463.000000
task98	29299.000000	85906.000000	86823.000000	917.000000
task99	29585.000000	86823.000000	87981.000000	1158.000000
task100	29875.000000	86823.000000	87980.000000	1157.000000
