task1	0.000000	0.000000	1230.726879	1230.726879	
task2	293.000000	293.000000	1526.484626	1233.484626	
task3	585.000000	1230.726879	1885.332632	654.605753	
task4	898.000000	1885.332632	2608.817258	723.484626	
task5	1167.000000	2608.817258	3707.301885	1098.484626	
task6	1439.000000	3707.301885	4935.149891	1227.848006	
task7	1745.000000	4935.149891	6239.416489	1304.266598	
task8	2020.000000	6239.416489	7081.779989	842.363500	
task12	3263.000000	7081.779989	8543.264615	1461.484626	
task9	2316.000000	7081.779989	8843.506868	1761.726879	
task28	8066.000000	8543.264615	9343.991494	800.726879	
task15	4184.000000	8843.506868	10010.991494	1167.484626	
task32	9256.000000	9343.991494	10017.282318	673.290824	
task17	4764.000000	8543.264615	10313.555438	1770.290824	
task10	2642.000000	10313.555438	11375.403444	1061.848006	
task11	2943.000000	11375.403444	12481.815395	1106.411950	
task37	10770.000000	11375.403444	12652.694268	1277.290824	
task13	3569.000000	12481.815395	13964.203120	1482.387725	
task19	5379.000000	12652.694268	14341.421147	1688.726879	
task14	3887.000000	14341.421147	15811.590844	1470.169697	
task16	4467.000000	15811.590844	16774.857443	963.266598	
task18	5080.000000	16774.857443	18519.705449	1744.848006	
task20	5671.000000	18519.705449	19513.117399	993.411950	
task21	5966.000000	19513.117399	20728.844278	1215.726879	
task39	11398.000000	19513.117399	21042.262871	1529.145472	
task54	16003.000000	20728.844278	21430.571158	701.726879	
task22	6261.000000	20728.844278	22367.013975	1638.169697	
task24	6837.000000	21430.571158	23155.861981	1725.290824	
task23	6543.000000	22367.013975	24093.062546	1726.048570	
task25	7124.000000	23155.861981	24663.346608	1507.484626	
task33	9547.000000	24093.062546	25761.571397	1668.508852	
task26	7430.000000	25761.571397	26879.837996	1118.266598	
task27	7752.000000	26879.837996	27870.686002	990.848006	
task42	12295.000000	26879.837996	28123.322622	1243.484626	
task29	8365.000000	27870.686002	29314.976825	1444.290824	
task30	8649.000000	29314.976825	30862.243424	1547.266598	
task31	8919.000000	30862.243424	32115.316219	1253.072796	
task48	14128.000000	30862.243424	32211.485797	1349.242373	
task52	15368.000000	32115.316219	32774.043099	658.726879	
task34	9849.000000	32115.316219	33066.485917	951.169697	
task35	10167.000000	33066.485917	33715.333923	648.848006	
task38	11092.000000	33715.333923	34743.745873	1028.411950	
task36	10470.000000	33715.333923	34943.503620	1228.169697	
task57	16939.000000	33715.333923	35254.866999	1539.533077	
task86	25482.000000	34743.745873	35443.794443	700.048570	
task65	19301.000000	35254.866999	35967.036696	712.169697	
task40	11688.000000	35443.794443	36722.036816	1278.242373	
task76	22562.000000	35967.036696	36814.884702	847.848006	
task49	14438.000000	36722.036816	37399.448766	677.411950	
task41	12000.000000	37399.448766	38118.691139	719.242373	
task45	13198.000000	38118.691139	39037.175766	918.484626	
task43	12632.000000	38118.691139	39195.296892	1076.605753	
task47	13822.000000	39037.175766	39838.902645	801.726879	
task74	21971.000000	39037.175766	40254.418139	1217.242373	
task44	12916.000000	40254.418139	41980.023891	1725.605753	
task46	13496.000000	41980.023891	42770.629644	790.605753	
task50	14728.000000	42770.629644	43662.356524	891.726879	
task56	16612.000000	42770.629644	44461.678215	1691.048570	
task51	15029.000000	43662.356524	44721.962276	1059.605753	
task75	22257.000000	44461.678215	45726.283968	1264.605753	
task53	15688.000000	44721.962276	46204.107748	1482.145472	
task99	29445.000000	46204.107748	46901.713501	697.605753	
task97	28858.000000	45726.283968	47311.550566	1585.266598	
task100	29743.000000	46901.713501	47574.222353	672.508852	
task55	16302.000000	46204.107748	47823.495473	1619.387725	
task61	18091.000000	47823.495473	48597.592494	774.097021	
task58	17220.000000	47574.222353	48935.488951	1361.266598	
task69	20528.000000	48597.592494	49486.198247	888.605753	
task93	27629.000000	48935.488951	50155.634423	1220.145472	
task59	17527.000000	50155.634423	50762.707218	607.072796	
task60	17798.000000	50762.707218	51780.780014	1018.072796	
task62	18381.000000	51780.780014	53069.385767	1288.605753	
task88	26098.000000	53069.385767	54314.434337	1245.048570	
task63	18698.000000	53069.385767	54542.991520	1473.605753	
task64	19005.000000	54542.991520	55208.282343	665.290824	
task66	19622.000000	55208.282343	56288.766970	1080.484626	
task70	20829.000000	56288.766970	57645.251596	1356.484626	
task67	19925.000000	56288.766970	57685.057793	1396.290824	
task68	20228.000000	57685.057793	58961.566645	1276.508852	
task71	21093.000000	58961.566645	59938.639441	977.072796	
task73	21671.000000	59938.639441	61060.736462	1122.097021	
task72	21375.000000	59938.639441	61268.124067	1329.484626	
task80	23784.000000	61268.124067	62068.269538	800.145472	
task77	22883.000000	61060.736462	62781.809257	1721.072796	
task84	24924.000000	62068.269538	62984.681489	916.411950	
task78	23177.000000	62984.681489	63868.190340	883.508852	
task79	23482.000000	63868.190340	65473.335812	1605.145472	
task81	24075.000000	65473.335812	66360.432833	887.097021	
task82	24356.000000	66360.432833	67195.699431	835.266598	
task83	24658.000000	67195.699431	68737.208283	1541.508852	
task85	25195.000000	68737.208283	70068.692909	1331.484626	
task87	25804.000000	70068.692909	70904.177535	835.484626	
task89	26413.000000	70904.177535	72385.783288	1481.605753	
task90	26734.000000	72385.783288	73183.146788	797.363500	
task91	27030.000000	73183.146788	74759.437611	1576.290824	
task92	27343.000000	74759.437611	75825.285617	1065.848006	
task94	27947.000000	75825.285617	77071.794469	1246.508852	
task95	28254.000000	77071.794469	77690.303320	618.508852	
task96	28560.000000	77690.303320	78623.151326	932.848006	
task98	29161.000000	78623.151326	80421.660178	1798.508852	
end	29753.000000	80421.660178	80421.660178	0.000000	
