# Simbatch result for 82.out
task1	0.000000	0.000000	930.000000	930.000000
task2	283.000000	283.000000	1515.000000	1232.000000
task3	575.000000	1515.000000	2420.000000	905.000000
task4	868.000000	2420.000000	4135.000000	1715.000000
task5	1161.000000	4135.000000	5387.000000	1252.000000
task6	1476.000000	5387.000000	6099.000000	712.000000
task7	1761.000000	6099.000000	7056.000000	957.000000
task8	2070.000000	7056.000000	7685.000000	629.000000
task9	2378.000000	7685.000000	9024.000000	1339.000000
task10	2665.000000	7685.000000	9480.000000	1795.000000
task11	2975.000000	9480.000000	10635.000000	1155.000000
task12	3254.000000	10635.000000	11568.000000	933.000000
task13	3567.000000	10635.000000	11703.000000	1068.000000
task14	3876.000000	10635.000000	11445.000000	810.000000
task15	4185.000000	11568.000000	12648.000000	1080.000000
task16	4465.000000	12648.000000	13436.000000	788.000000
task17	4762.000000	13436.000000	14591.000000	1155.000000
task18	5055.000000	14591.000000	15931.000000	1340.000000
task19	5335.000000	15931.000000	17321.000000	1390.000000
task20	5635.000000	17321.000000	18570.000000	1249.000000
task21	5935.000000	17321.000000	18621.000000	1300.000000
task22	6232.000000	18621.000000	19840.000000	1219.000000
task23	6568.000000	19840.000000	21145.000000	1305.000000
task24	6885.000000	21145.000000	22496.000000	1351.000000
task25	7189.000000	22496.000000	24221.000000	1725.000000
task26	7474.000000	24221.000000	25601.000000	1380.000000
task27	7740.000000	25601.000000	26938.000000	1337.000000
task28	8029.000000	26938.000000	27634.000000	696.000000
task29	8306.000000	27634.000000	29248.000000	1614.000000
task30	8596.000000	29248.000000	30808.000000	1560.000000
task31	8884.000000	30808.000000	31408.000000	600.000000
task32	9208.000000	31408.000000	33081.000000	1673.000000
task33	9517.000000	33081.000000	34494.000000	1413.000000
task34	9817.000000	34494.000000	35695.000000	1201.000000
task35	10136.000000	35695.000000	37088.000000	1393.000000
task36	10424.000000	37088.000000	38023.000000	935.000000
task37	10737.000000	37088.000000	38435.000000	1347.000000
task38	11052.000000	38435.000000	39370.000000	935.000000
task39	11331.000000	39370.000000	40950.000000	1580.000000
task40	11610.000000	39370.000000	41019.000000	1649.000000
task41	11933.000000	39370.000000	40200.000000	830.000000
task42	12223.000000	41019.000000	41866.000000	847.000000
task43	12522.000000	41866.000000	43263.000000	1397.000000
task44	12815.000000	41866.000000	42579.000000	713.000000
task45	13115.000000	43263.000000	44398.000000	1135.000000
task46	13403.000000	44398.000000	45638.000000	1240.000000
task47	13677.000000	45638.000000	46582.000000	944.000000
task48	13984.000000	46582.000000	47794.000000	1212.000000
task49	14275.000000	47794.000000	49261.000000	1467.000000
task50	14566.000000	49261.000000	50524.000000	1263.000000
task51	14865.000000	49261.000000	49938.000000	677.000000
task52	15150.000000	50524.000000	51471.000000	947.000000
task53	15428.000000	51471.000000	52271.000000	800.000000
task54	15760.000000	52271.000000	54011.000000	1740.000000
task55	16081.000000	54011.000000	54620.000000	609.000000
task56	16372.000000	54011.000000	55623.000000	1612.000000
task57	16678.000000	55623.000000	57406.000000	1783.000000
task58	16967.000000	57406.000000	58552.000000	1146.000000
task59	17315.000000	57406.000000	58037.000000	631.000000
task60	17592.000000	58037.000000	58743.000000	706.000000
task61	17879.000000	58552.000000	59651.000000	1099.000000
task62	18188.000000	59651.000000	61080.000000	1429.000000
task63	18508.000000	59651.000000	60539.000000	888.000000
task64	18831.000000	59651.000000	60796.000000	1145.000000
task65	19135.000000	61080.000000	62102.000000	1022.000000
task66	19418.000000	62102.000000	62736.000000	634.000000
task67	19749.000000	62736.000000	63541.000000	805.000000
task68	20032.000000	63541.000000	64424.000000	883.000000
task69	20322.000000	63541.000000	64540.000000	999.000000
task70	20632.000000	64540.000000	65502.000000	962.000000
task71	20952.000000	65502.000000	66801.000000	1299.000000
task72	21275.000000	65502.000000	67246.000000	1744.000000
task73	21568.000000	65502.000000	67267.000000	1765.000000
task74	21875.000000	67267.000000	68464.000000	1197.000000
task75	22184.000000	68464.000000	69489.000000	1025.000000
task76	22476.000000	69489.000000	71260.000000	1771.000000
task77	22796.000000	71260.000000	72612.000000	1352.000000
task78	23076.000000	71260.000000	72331.000000	1071.000000
task79	23355.000000	72612.000000	73435.000000	823.000000
task80	23673.000000	73435.000000	74485.000000	1050.000000
task81	23978.000000	73435.000000	75122.000000	1687.000000
task82	24261.000000	74485.000000	75823.000000	1338.000000
task83	24591.000000	75823.000000	77268.000000	1445.000000
task84	24868.000000	77268.000000	78683.000000	1415.000000
task85	25178.000000	77268.000000	78208.000000	940.000000
task86	25512.000000	78683.000000	79653.000000	970.000000
task87	25839.000000	79653.000000	81023.000000	1370.000000
task88	26150.000000	81023.000000	82399.000000	1376.000000
task89	26438.000000	82399.000000	83150.000000	751.000000
task90	26758.000000	83150.000000	84448.000000	1298.000000
task91	27066.000000	83150.000000	83803.000000	653.000000
task92	27367.000000	84808.000000	85696.000000	888.000000
task93	27667.000000	83803.000000	84808.000000	1005.000000
task94	27980.000000	85696.000000	86664.000000	968.000000
task95	28295.000000	86664.000000	88062.000000	1398.000000
task96	28598.000000	88062.000000	89208.000000	1146.000000
task97	28904.000000	89208.000000	90653.000000	1445.000000
task98	29195.000000	89208.000000	90082.000000	874.000000
task99	29492.000000	89208.000000	90894.000000	1686.000000
task100	29799.000000	89208.000000	90787.000000	1579.000000
